Title,Views,Likes,Engagement_Rate,Channel
"2026년 한국 & 미국 경제, 모든...",10552,183,1.73,경제야놀자
"""2026년, 한국 부동산 끝났습니다...",8020,570,7.11,부자경제학비법
2026년 금리 인상 오나? 은행에 ...,5731,55,0.96,부티플 - 부의 배수를 높여라
2026년 금리인상 신호 켜졌다?! ...,62657,1177,1.88,필쌤TV - 김경필의 머니트레이닝
"""경제 박살날까봐 금리 못올렸다"" 2...",36567,578,1.58,부티플 - 부의 배수를 높여라
"2026년 한국경제 전망, 환율과 금...",30195,436,1.44,경제시그널
2026년 금리는 어떻게 될까? 경제...,178,0,0.0,ai종목분석
2026 경제전망...내년 금융 시장...,66808,781,1.17,경제한방
금리 인하? 집값 상승? 2026년 ...,14761,327,2.22,정창래의 부동산 성공투자
환율•금리•엔화•금...2026년 향...,39215,769,1.96,머니올라_KBS
